percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0703,0.133297,0.142785,0.1487969999999999,0.095097,0.1041,0.119188,0.1289,0.10373,0.0878,0.098206,0.096386,0.094658,0.10466,0.093558,0.10466,0.088544,0.1033,0.0878,0.101474,0.149086,0.146446,0.144716,0.144344,0.142744,0.14903,0.1461019999999999,0.149444,0.146704,0.148686,0.146446,0.147586,0.1540419999999999,0.1712,0.1655259999999999,0.168868,0.170542,0.156468,0.171142,0.159684,0.171142,0.162842,0.1718259999999999,0.164484,0.1140969999999999,0.1363879999999999,0.141985,0.146088,0.122697,0.1259,0.1314,0.135297
1,0.081788,0.141394,0.1467,0.152694,0.1013,0.1137939999999999,0.125394,0.135282,0.118116,0.097672,0.114444,0.109616,0.107272,0.118372,0.101544,0.119176,0.0985159999999999,0.119204,0.097672,0.117972,0.158816,0.1589,0.1572,0.158072,0.158472,0.158872,0.1589,0.158516,0.1589,0.156616,0.1589,0.157072,0.164368,0.1801,0.179568,0.180772,0.180884,0.165084,0.181168,0.166504,0.181168,0.172584,0.1801,0.178884,0.1201,0.145088,0.148388,0.154194,0.1297,0.130794,0.136882,0.141576
2,0.090491,0.1468,0.1536,0.1552909999999999,0.108273,0.1198,0.1338909999999999,0.1411,0.127532,0.1048,0.123458,0.121058,0.115974,0.127574,0.107832,0.128332,0.1055,0.128616,0.1048,0.125874,0.164558,0.164716,0.1616,0.162,0.163,0.165232,0.164116,0.16479,0.164348,0.163574,0.164716,0.162658,0.1687519999999999,0.187726,0.186526,0.188352,0.189152,0.170052,0.1881779999999999,0.1742,0.188026,0.179026,0.1878,0.184526,0.124091,0.150682,0.154073,0.1582,0.1333909999999999,0.137091,0.141391,0.145391
3,0.094476,0.152876,0.1574,0.1587,0.112588,0.122988,0.139464,0.1449639999999999,0.134432,0.11212,0.129432,0.1258,0.1215,0.135244,0.114388,0.1356,0.1124,0.135732,0.11212,0.132488,0.170544,0.171244,0.168844,0.169344,0.170888,0.171044,0.171244,0.171744,0.1712,0.1692,0.171244,0.1682519999999999,0.1748,0.192768,0.190768,0.193668,0.195,0.1757,0.19454,0.1781,0.194168,0.183536,0.192768,0.188736,0.128,0.1554,0.159176,0.1606,0.1378,0.1408,0.1441879999999999,0.1489
4,0.099,0.1551,0.160485,0.165095,0.1175,0.128685,0.1458,0.149455,0.14075,0.11836,0.1333,0.12906,0.1257,0.14089,0.11946,0.14193,0.11836,0.1417,0.11836,0.13783,0.17346,0.17612,0.17446,0.17516,0.17533,0.17406,0.17623,0.1748,0.17612,0.1738,0.17612,0.17386,0.17855,0.1978,0.1947,0.19711,0.19942,0.18,0.19881,0.1813,0.19881,0.1878,0.19785,0.19161,0.132485,0.158685,0.1623,0.1626,0.140385,0.14397,0.1479,0.154485
5,0.1026,0.1602,0.165164,0.169182,0.1224,0.133282,0.1502,0.1539,0.1463,0.1224,0.137816,0.134348,0.130416,0.1464,0.123132,0.147164,0.1224,0.1447,0.1224,0.141216,0.1764,0.179032,0.179,0.179416,0.178616,0.177,0.179,0.177832,0.179032,0.1774,0.179032,0.177816,0.182452,0.201652,0.197952,0.2001,0.202952,0.1832,0.202752,0.184552,0.2023039999999999,0.1904,0.2020559999999999,0.194252,0.1358,0.161,0.1653,0.168082,0.142882,0.1474,0.1501,0.158
6,0.106679,0.1654,0.1691,0.170779,0.126679,0.137779,0.154279,0.160379,0.1508,0.127606,0.141702,0.1385,0.1342,0.150806,0.1288,0.152102,0.128104,0.148802,0.127606,0.144404,0.179204,0.182102,0.181908,0.182,0.182502,0.1802,0.181802,0.181,0.1819,0.1802,0.182102,0.180602,0.1856,0.2054,0.2007,0.2027,0.2052,0.186894,0.2063,0.188294,0.206,0.1938,0.205776,0.197494,0.138758,0.164479,0.168958,0.171079,0.145779,0.1495,0.155,0.160979
7,0.110576,0.1679,0.173876,0.173704,0.130976,0.141476,0.157776,0.163552,0.1552,0.132476,0.144376,0.1417,0.1385,0.1555,0.1330879999999999,0.155676,0.1326,0.1523,0.1326,0.1484,0.1823,0.1842879999999999,0.184852,0.184388,0.1842879999999999,0.182888,0.183688,0.1831,0.184,0.1834,0.1842879999999999,0.183576,0.188972,0.2081,0.2031,0.2053,0.2076,0.189836,0.209,0.1919,0.2088,0.1964,0.2082,0.200272,0.141576,0.167552,0.1723,0.1735,0.148052,0.152176,0.1579,0.1644
8,0.1141,0.171346,0.176673,0.176673,0.1344,0.1444,0.1604,0.166,0.1584,0.1356,0.148074,0.144374,0.141774,0.1587,0.1371,0.159174,0.136,0.156222,0.135774,0.1512,0.1848,0.186748,0.1866,0.1867,0.1866,0.185374,0.186,0.1858,0.1863,0.1858,0.186748,0.1856,0.192278,0.210878,0.205778,0.2076,0.210378,0.193234,0.2115,0.194778,0.2115,0.1987,0.210978,0.203278,0.143773,0.1717,0.1742,0.175873,0.150373,0.154873,0.1607,0.1661
9,0.11647,0.1754,0.17937,0.1792699999999999,0.1373,0.147,0.1627,0.1688,0.16136,0.1388,0.1515,0.1486,0.1451,0.16216,0.1409,0.16188,0.1397,0.1588,0.13896,0.15472,0.1876,0.18836,0.1884,0.18852,0.18856,0.1879,0.1877,0.1876,0.188,0.188,0.18836,0.18756,0.19532,0.2133,0.2078,0.2098,0.2125,0.19622,0.21382,0.1971,0.2137,0.20122,0.21332,0.20552,0.14547,0.1748,0.17567,0.1778,0.1524,0.1569,0.16417,0.1687
10,0.119667,0.179867,0.180967,0.1836,0.1397,0.152034,0.1645,0.1728,0.164146,0.141946,0.154646,0.152046,0.148,0.164846,0.1439,0.1645,0.142838,0.162346,0.142,0.1575,0.190046,0.1909,0.1904,0.190846,0.190946,0.1902,0.190092,0.190092,0.1906,0.190146,0.190946,0.1896,0.197662,0.2159,0.2099,0.211724,0.214162,0.199024,0.216,0.2009,0.216,0.2041,0.215962,0.2074,0.1478,0.1768,0.1773,0.1797669999999999,0.154467,0.159567,0.1666,0.171
11,0.123264,0.1816,0.182864,0.1858,0.144564,0.1545,0.1669,0.1759,0.1672,0.145132,0.157332,0.154532,0.151632,0.1678,0.1472,0.1678,0.145764,0.165032,0.1452,0.1605,0.1934,0.193332,0.192664,0.193,0.1931,0.1934,0.192532,0.1926,0.192932,0.1918,0.193332,0.1916,0.202004,0.218,0.212304,0.214108,0.2159,0.2026,0.218504,0.203808,0.2185,0.2065,0.218,0.209504,0.1494,0.1779639999999999,0.178864,0.1811,0.1567,0.161928,0.1685,0.1736
12,0.1271,0.183361,0.1854,0.1873,0.147161,0.1585,0.171261,0.179361,0.169318,0.148618,0.1601,0.1576,0.154418,0.170118,0.1508,0.170636,0.150272,0.1684179999999999,0.148918,0.163336,0.196036,0.1953,0.1944179999999999,0.1952,0.1953,0.195718,0.1944,0.1949179999999999,0.19479,0.1936,0.1953,0.1938,0.204146,0.220692,0.2149,0.215846,0.2187,0.2053,0.221546,0.206846,0.221446,0.208692,0.220692,0.211838,0.151761,0.1794,0.180361,0.1827,0.1586,0.1637,0.170661,0.176061
13,0.1301,0.185858,0.187758,0.1887,0.150258,0.161158,0.1737,0.181658,0.172304,0.1515,0.1624,0.1601,0.157304,0.1727,0.153304,0.173304,0.152808,0.1711,0.151604,0.1656,0.198504,0.1972,0.1958,0.196804,0.1968,0.1982,0.196504,0.1975,0.1972,0.196104,0.1972,0.1955,0.2075,0.223388,0.2173,0.2182,0.220688,0.208288,0.2238,0.209588,0.2238,0.2108,0.2233,0.2138,0.1543,0.180458,0.1815,0.184,0.161058,0.1657,0.1726,0.1778
