percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.119964,0.287648,0.292858,0.296232,0.172732,0.211753,0.255379,0.2828,0.415535,0.406765,0.42078,0.42019,0.418885,0.417595,0.406765,0.417595,0.406765,0.42078,0.406765,0.422225,0.1895119999999999,0.30209,0.309479,0.308158,0.2157,0.237516,0.263358,0.275969
1,0.148058,0.306358,0.307858,0.3138,0.202164,0.2475159999999999,0.269216,0.2935,0.44157,0.42338,0.4437799999999999,0.4418,0.43296,0.44157,0.42338,0.43946,0.42338,0.44358,0.42338,0.44355,0.2179,0.32129,0.317134,0.319886,0.241808,0.265358,0.286058,0.3113
2,0.166933,0.315644,0.321244,0.337055,0.224948,0.266474,0.287037,0.302359,0.451185,0.442235,0.455,0.453055,0.4476,0.45111,0.442235,0.45311,0.442235,0.454835,0.442235,0.454835,0.232644,0.3301,0.330496,0.347033,0.262144,0.283037,0.296085,0.3321739999999999
3,0.178132,0.323516,0.3508,0.3616,0.244232,0.279,0.297964,0.316112,0.45982,0.4516,0.46434,0.46058,0.458,0.45982,0.4516,0.46056,0.4516,0.46524,0.4516,0.46568,0.249556,0.336932,0.360616,0.375516,0.279716,0.293516,0.314412,0.338764
4,0.1925899999999999,0.350695,0.3706,0.3668,0.259455,0.29139,0.31742,0.324095,0.468225,0.45935,0.4715,0.467325,0.4629,0.468225,0.45965,0.468675,0.45935,0.4715,0.45935,0.4716,0.262995,0.370895,0.37975,0.38349,0.293005,0.303,0.33386,0.34868
5,0.204948,0.361496,0.3825,0.3755,0.2727219999999999,0.302596,0.325574,0.3514219999999999,0.47351,0.46424,0.47787,0.47353,0.46997,0.47351,0.46503,0.47351,0.46437,0.4786,0.46424,0.47914,0.275744,0.3842,0.3980099999999999,0.396448,0.307588,0.315222,0.3481,0.368062
6,0.221906,0.373353,0.3897529999999999,0.4007529999999999,0.2844,0.310353,0.336212,0.3634,0.4792,0.470555,0.483125,0.48029,0.47686,0.4792,0.471955,0.47913,0.4714649999999999,0.48473,0.470555,0.485295,0.285671,0.392618,0.403806,0.4033,0.318771,0.327353,0.361112,0.376406
7,0.23266,0.386432,0.40002,0.406464,0.290232,0.319,0.345464,0.370532,0.48506,0.47774,0.48856,0.48558,0.48184,0.48506,0.4784,0.48506,0.47806,0.49,0.47774,0.4904,0.299364,0.403032,0.406792,0.4101,0.3278,0.3394959999999999,0.370964,0.382532
8,0.242622,0.398044,0.408722,0.4124109999999999,0.3003,0.326622,0.355422,0.374333,0.489655,0.48155,0.492765,0.4895,0.486355,0.4897,0.48271,0.4904,0.482265,0.4952749999999999,0.48155,0.495965,0.309233,0.410222,0.4109,0.4132,0.335211,0.34841,0.3768,0.391133
9,0.25209,0.40457,0.41437,0.4240899999999999,0.30877,0.33277,0.36611,0.37988,0.49565,0.4862,0.49735,0.4922999999999999,0.4911,0.49595,0.48685,0.4966,0.48635,0.50135,0.4862,0.50145,0.31568,0.4145,0.41586,0.41638,0.3445,0.36035,0.38128,0.40059
10,0.263338,0.410569,0.419669,0.430876,0.3214,0.3382,0.378369,0.388314,0.5027900000000001,0.48999,0.50446,0.498125,0.496735,0.502945,0.490445,0.503045,0.49029,0.50749,0.48999,0.507035,0.323338,0.418869,0.4214,0.424569,0.352569,0.370969,0.386069,0.4094689999999999
11,0.2704919999999999,0.414996,0.424048,0.433148,0.329348,0.344896,0.3873479999999999,0.407348,0.5087200000000001,0.4935,0.50968,0.5047,0.4999,0.5105999999999999,0.4949,0.51164,0.4942999999999999,0.51652,0.4935,0.51502,0.330248,0.4247,0.4281959999999999,0.428296,0.3612399999999999,0.377396,0.392932,0.416244
12,0.276854,0.424462,0.430027,0.4349,0.335527,0.351954,0.395127,0.416154,0.520135,0.497935,0.51678,0.50904,0.50554,0.52034,0.499735,0.521505,0.4983,0.52714,0.497935,0.52668,0.339427,0.427454,0.433327,0.433027,0.3691,0.386427,0.403208,0.421627
13,0.284024,0.4312,0.439518,0.438706,0.3428,0.362806,0.405,0.424206,0.52965,0.50256,0.52426,0.5163800000000001,0.51106,0.52965,0.50393,0.53003,0.50303,0.53293,0.50256,0.5328,0.3493,0.430912,0.438706,0.4446,0.3764,0.395406,0.409124,0.428212
14,0.2940699999999999,0.439485,0.442885,0.4431699999999999,0.350255,0.3702,0.4104,0.428885,0.5346249999999999,0.5059,0.532125,0.5243249999999999,0.5194,0.5346249999999999,0.508,0.5351,0.50675,0.53945,0.5059,0.5370250000000001,0.359085,0.435185,0.442755,0.450085,0.3836549999999999,0.402455,0.419355,0.4345099999999999
15,0.303264,0.44392,0.4482279999999999,0.446328,0.357292,0.378092,0.415,0.4334,0.54032,0.51176,0.53702,0.53062,0.52442,0.54152,0.51664,0.54182,0.51314,0.54632,0.51176,0.5450400000000001,0.3681,0.440492,0.453892,0.456956,0.390528,0.408464,0.4313559999999999,0.442264
16,0.309729,0.453943,0.4511,0.451758,0.3633,0.3847,0.423186,0.444473,0.549775,0.519215,0.543215,0.5360900000000001,0.530575,0.5502,0.522675,0.551345,0.520315,0.5542,0.519215,0.5520900000000001,0.373843,0.449186,0.457843,0.47213,0.397529,0.414529,0.438743,0.449086
17,0.316488,0.466144,0.4542,0.459122,0.3707,0.3955,0.431344,0.452244,0.55553,0.5243099999999999,0.55115,0.54223,0.53811,0.55585,0.52815,0.5569099999999999,0.525,0.55853,0.5243099999999999,0.55585,0.37811,0.456522,0.462532,0.482222,0.406388,0.419122,0.4487,0.4564
18,0.3227,0.471201,0.461007,0.467501,0.3792,0.402,0.438802,0.459402,0.561705,0.5298050000000001,0.55943,0.5515,0.5457099999999999,0.564005,0.5345,0.5641050000000001,0.53001,0.565905,0.5298050000000001,0.563615,0.384901,0.463112,0.4664009999999999,0.4869,0.4132,0.4265049999999999,0.4552049999999999,0.463702
